Name,Price,Image,URL,Description,Specification
SAMSUNG CHEST FREEZER: RI70F29V2GAUT,"KSh64,990.00",https://samsutech.net/wp-content/uploads/2025/09/Untitled-design-1.png,https://samsutech.net/product/samsung-chest-freezer-ri70f29v2gaut/,SAMSUNG CHEST FREEZER: RI70F29V2GAUT,SAMSUNG CHEST FREEZER; • 287 LITRES CAPACITY; • AC COMPRESSOR; • 45dBA NOICE LEVEL; • POWER FREEZER FUNCTION; • EASY FREEZE CONTROL; • INTERIOR LED LIGHTING; • 2 MOVABLE WIRED BASKETS INCLUDED; • KEY LOCK; • BAR HANDLE TYPE; • COLOR: DARK GREY; • NETT DIMENSIONS (WXHXD); 1090X850X614MM; Barcode: 8806097355199
SAMSUNG CHEST FREEZER: RI70F20V2GAUT,"KSh49,990.00",https://samsutech.net/wp-content/uploads/2025/09/Untitled-design.png,https://samsutech.net/product/samsung-chest-freezer-ri70f20v2gaut/,SAMSUNG CHEST FREEZER: RI70F20V2GAUT,SAMSUNG CHEST FREEZER; • 198 LITRES CAPACITY; • AC COMPRESSOR; • 45dBA NOICE LEVEL; • POWER FREEZER FUNCTION; • EASY FREEZE CONTROL; • INTERIOR LED LIGHTING; • 1 MOVABLE WIRED BASKET INCLUDED; • KEY LOCK; • BAR HANDLE TYPE; • COLOR: DARK GREY; • NETT DIMENSIONS (WXHXD); 910X850X550MM; Barcode: 8806097355168
SAMSUNG 55” Q LED TV: QA55Q7FAAU,"KSh79,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-5.png,https://samsutech.net/product/samsung-55-q-led-tv-qa55q7faau/,SAMSUNG 55” Q LED TV: QA55Q7FAAU,"SAMSUNG 55” Q LED TV• 3,840 x 2,160 4K UHD RESOLUTION• 50Hz MOTION REFRESH RATE• Q4 AI PROCESSOR• QUANTUM HDR• HDR 10+ SUPPORT• 4K AI UPSCALING• SUPREME UHD DIMMING• MOTION XCELERATOR TECHNOLOGY• OBJECT TRACKING SOUND LITE• BIXBY (VOICE READY) + WEB BROWSER• APPLE AIR PLAY + BLUETOOTH• SLIM LOOK DESIGN• FLAT FEET NARROW STAND TYPE• 3 X HDMI + 1 X USB + 1 X ETHERNET (LAN); Barcode: 8806097194170"
SAMSUNG 50” 4K UHD LED TV: UA50U8000FU,"KSh57,990.00",https://samsutech.net/wp-content/uploads/2025/06/samsung-ua75u8000fu-169039-v1-original-1.avif,https://samsutech.net/product/samsung-50-4k-uhd-led-tv-ua50u8000fu/,SAMSUNG 50” 4K UHD LED TV: UA50U8000FU,SAMSUNG 50” LED TV• DVB-T2 Digital Tuner Ready• 3840 x 2160 4K Resolution• Crystal Processor 4K• 60Hz Motion Refresh Rate• Motion Xcelerator Technology• Mega Contrast & HDR (High Dynamic range)• 4K Upscaling• UHD Micro Dimming• Object Tracking Sound Lite• TizenTM Smart TV• Bixby (Voice Ready) + Web Browser• WIFI + Bluetooth• Apple Air Play• 3 x HDMI + 1 x USB• 1 x Ethernet (LAN)• Metal Stream Design• Basic Feet Stand type; Barcode: 8806097191988
SAMSUNG 85″ Neo QLED 8K Smart TV: QA85QN900FU,"KSh699,990.00",https://samsutech.net/wp-content/uploads/2023/07/samsung-qa65qn900fu-168977-v1-original-1.avif,https://samsutech.net/product/samsung-85-neo-qled-8k-smart-tv-qa85qn900fu/,SAMSUNG 85″ Neo QLED 8K Smart TV: QA85QN900FU,"85″ 8K Ultra HD Resolution Neo QLED HDR 8K+ powered by Quantum Mini LED; Motion Rate 200 with 4K 144Hz VRR via HDMI 2.1; Smart TV powered by Tizen with built in Bixby and Alexa voice assistant; An incredible Dolby Atmos experience; AI Upscaling designed to upgrade your favourite content; See a great view from virtually wherever you sit with Wide Viewing Angle; Anti-Glare Technology Minimises glare; Adaptive Picture cleverly optimises your picture settings; Neural Quantum Processor 8K; Object Tracking Sound Pro (OTS Pro); Adaptive Sound helps ensure you never miss a word; Ambient Mode + allows you to turn the blank screen into a beautiful display; AMD Freesync Premium Pro; SolarCell One Remote powered by light energy; Works with Google Assistant, Amazon Alexa and Apple AirPlay 2"
SAMSUNG 65″ 4K NEO Q LED TV: QA65QN85FAU,"KSh209,990.00",https://samsutech.net/wp-content/uploads/2023/07/in-qled-qn85f-qa55qn85faulxl-545964846.png,https://samsutech.net/product/samsung-65-4k-neo-q-led-tv-qa65qn85fau/,SAMSUNG 65″ 4K NEO Q LED TV: QA65QN85FAU,"SAMSUNG 4K NEO Q LED TV; • 3,840 X 2,160 4K RESOLUTION; • 100Hz MOTION REFRESH RATE; • NQ4 AI Gen2 PROCESSOR; • NEO QUANTUM HDR+ SUPPORT; • 4K AI UPSCALING; • QUANTUM MINI LED PRO CONTRAST; • SUPREME UHD MICRO DIMMING; • MOTION XCELERATOR 144Hz TECHNOLOGY; • COLOR BOOSTER PRO; • OBJECT TRACKING SOUND LITE; • BIXBY (VOICE READY) + WEB BROWSER; • APPLE AIR PLAY; • BLUETOOTH & WIFI; • 4 X HDMI + 2 X USB; • 1 X ETHERNET (LAN); • SIMPLE CHAMFER DESIGN; • METAL AERO CENTER STAND TYPE; Barcode: 8806097002963"
SAMSUNG 55″ 4K NEO QLED TV: QA55QN85FAU,"KSh169,990.00",https://samsutech.net/wp-content/uploads/2023/07/in-qled-qn85f-qa55qn85faulxl-545964846.png,https://samsutech.net/product/samsung-55-4k-neo-qled-tv-qa55qn85fau/,SAMSUNG 55″ 4K NEO QLED TV: QA55QN85FAU,"SAMSUNG 4K NEO Q LED TV; • 3,840 X 2,160 4K RESOLUTION; • 100Hz MOTION REFRESH RATE; • NQ4 AI Gen2 PROCESSOR; • NEO QUANTUM HDR+ SUPPORT; • 4K AI UPSCALING; • QUANTUM MINI LED PRO CONTRAST; • SUPREME UHD MICRO DIMMING; • MOTION XCELERATOR 144Hz TECHNOLOGY; • COLOR BOOSTER PRO; • OBJECT TRACKING SOUND LITE; • BIXBY (VOICE READY) + WEB BROWSER; • APPLE AIR PLAY; • BLUETOOTH & WIFI; • 4 X HDMI + 2 X USB; • 1 X ETHERNET (LAN); • SIMPLE CHAMFER DESIGN; • METAL AERO CENTER STAND TYPE; Barcode: 8806097003045"
SAMSUNG 43” LED TV: UA43F6000FU,"KSh33,990.00",https://samsutech.net/wp-content/uploads/2025/07/Untitled-design-2.png,https://samsutech.net/product/samsung-43-led-tv-ua43f6000fu/,SAMSUNG 43” LED TV: UA43F6000FU,SAMSUNG 43” LED TV; • DVB-T2 Digital Tuner Ready; • 1920 x 1080 FHD Resolution; • 50Hz Motion Refresh Rate; • Mega Contrast & HDR (High Dynamic range); • HyperReal Picture Engine & Micro Dimming Pro; • TizenTM Smart TV + Samsung Knox Security; • Bixby (Voice Ready) + Web Browser; • WIFI + Bluetooth; • Apple Air Play; • 2 x HDMI + 1 x USB; • 1 x Ethernet (LAN); • Slim Look Design; • Low Feet Stand type; Barcode: 8806097003328
SAMSUNG 32” SMART LED TV: UA32H5000FU,"KSh23,990.00",https://samsutech.net/wp-content/uploads/2025/07/Untitled-design-1-1.png,https://samsutech.net/product/samsung-32-smart-led-tv-ua32h5000fu/,SAMSUNG 32” SMART LED TV: UA32H5000FU,SAMSUNG 32” SMART LED TV; • DVB-T2 Digital Tuner Ready; • 1366 x 768 HD Resolution; • 50Hz Motion Refresh Rate; • Mega Contrast & HDR (High Dynamic range); • HyperReal Picture Engine & Micro Dimming Pro; • TizenTM Smart TV + Samsung Knox Security; • Bixby (Voice Ready) + Web Browser; • Wireless LAN Built-in; • Apple Air Play; • Slim Look Design; • 2 x HDMI; • 1 x USB; • 1 x Ethernet (LAN); Barcode: 8806097016496
SAMSUNG 10KG FRONT LOAD WASHING MACHINE: WW10DG5U34ABNQ,"KSh94,990.00",https://samsutech.net/wp-content/uploads/2025/07/Untitled-design-1.png,https://samsutech.net/product/samsung-front-load-washing-machine-ww10dg5u34abnq/,SAMSUNG 10KG FRONT LOAD WASHING MACHINE: WW10DG5U34ABNQ,SAMSUNG FRONT LOAD WASHING MACHINE; • 10 KG WASHING CAPACTIY; • 1400 RPM SPIN SPEED; • LED CONTROL PANEL; • DIGITAL INVERTER TECHNOLOGY MOTOR; • AI ECO BUBBLE TECHNOLOGY; • CHILD LOCK; • 2-ND GENERATION DIAMOND DRUM; • 15-MINUTE QUICK WASH; • WIFI EMBEDDED; • SMART THINGS APP SUPPORT; • BLACK CARVED DOOR; • BODY COLOR: BLACK; • NETT DIMENSIONS (WXHXD); 600X850X595MM; Barcode: 8806097356011
